,node,eign,closeness,betwness,centrality,community,density
223,2079,0.0005875782709270351,0.2597954062922216,0.0,1,0,0.10547796118265917
265,2195,0.0005875782709270351,0.2597954062922216,0.0,1,0,0.10547796118265917
300,2269,0.0005875782709270351,0.2597954062922216,0.0,1,0,0.10547796118265917
375,2457,0.0005875782709270351,0.2597954062922216,0.0,1,0,0.10547796118265917
377,2470,0.0005875782709270351,0.2597954062922216,0.0,1,0,0.10547796118265917
415,2569,0.0005875782709270351,0.2597954062922216,0.0,1,0,0.10547796118265917
423,2596,0.0005875782709270351,0.2597954062922216,0.0,1,0,0.10547796118265917
340,2382,0.0005914305486566682,0.25981212199202164,0.0,2,0,0.10547796118265917
407,2541,0.0005914305486566682,0.25981212199202164,0.0,2,0,0.10547796118265917
255,2168,0.0005950446989926364,0.25982883984299593,0.0,3,0,0.10547796118265917
260,2178,0.0005954768237713212,0.25982883984299593,6.134440182644368e-08,3,0,0.10547796118265917
339,2380,0.0006052591360538352,0.25982883984299593,0.0,3,0,0.10547796118265917
382,2481,0.0005952294245305337,0.25982883984299593,1.7526971950412477e-08,3,0,0.10547796118265917
383,2483,0.0005950817498392415,0.25982883984299593,0.0,3,0,0.10547796118265917
400,2527,0.0006232798020892299,0.25984555984555985,1.2268880365288735e-07,3,0,0.10547796118265917
422,2595,0.0005950817498392415,0.25982883984299593,0.0,3,0,0.10547796118265917
184,1937,0.000599688996705904,0.25984555984555985,6.134440182644368e-08,4,0,0.10547796118265917
205,1996,0.0006079483819735741,0.25984555984555985,2.4537760730577472e-08,4,0,0.10547796118265917
234,2106,0.0005987327070792723,0.25984555984555985,4.089626788429578e-08,4,0,0.10547796118265917
267,2204,0.0005988556317724479,0.25984555984555985,0.0,4,0,0.10547796118265917
367,2441,0.0006083879674493465,0.25984555984555985,0.0,4,0,0.10547796118265917
412,2565,0.0006079483819735741,0.25984555984555985,2.4537760730577472e-08,4,0,0.10547796118265917
207,2015,0.0006036320456771836,0.25986228200012873,1.3700249741239088e-07,5,0,0.10547796118265917
254,2167,0.0006028180219623808,0.25986228200012873,0.0,5,0,0.10547796118265917
281,2230,0.0006554218365504714,0.25986228200012873,1.0224066971073945e-08,5,0,0.10547796118265917
356,2422,0.0006123416156226675,0.25986228200012873,3.067220091322184e-08,5,0,0.10547796118265917
360,2431,0.0006122518222015386,0.25986228200012873,0.0,5,0,0.10547796118265917
363,2437,0.0006025204551069148,0.25986228200012873,8.179253576859156e-08,5,0,0.10547796118265917
434,2634,0.0006039196460381065,0.25986228200012873,3.0672200913221837e-07,5,0,0.10547796118265917
232,2100,0.0006164332973553262,0.259879006307118,0.0,6,0,0.10547796118265917
329,2358,0.0006602086305653308,0.259879006307118,1.1246473668181339e-07,6,0,0.10547796118265917
337,2375,0.0006163288388399648,0.259879006307118,0.0,6,0,0.10547796118265917
341,2388,0.0006172644157705862,0.259879006307118,2.065261528156937e-07,6,0,0.10547796118265917
419,2580,0.000653312458738081,0.259879006307118,2.7329717480370738e-08,6,0,0.10547796118265917
430,2621,0.0006161421604529018,0.259879006307118,2.4537760730577472e-08,6,0,0.10547796118265917
190,1961,0.0006441817539729173,0.25989573276694344,4.907552146115493e-07,7,0,0.10547796118265917
206,2008,0.0006277464376016407,0.25989573276694344,2.8043155120659964e-07,7,0,0.10547796118265917
208,2017,0.0006131875873540993,0.25989573276694344,6.441162191776585e-07,7,0,0.10547796118265917
229,2094,0.0006103765578654411,0.25989573276694344,4.9075521461154943e-08,7,0,0.10547796118265917
279,2227,0.0006230385666898677,0.25989573276694344,2.7174109428118685e-07,7,0,0.10547796118265917
289,2245,0.0006104471720408802,0.25989573276694344,4.206473268098995e-08,7,0,0.10547796118265917
298,2263,0.0006198368104989686,0.25989573276694344,1.1655436347024297e-07,7,0,0.10547796118265917
321,2321,0.0006198222614275299,0.25989573276694344,6.482058459660882e-07,7,0,0.10547796118265917
401,2528,0.0006198897350272442,0.25989573276694344,7.974772237437679e-08,7,0,0.10547796118265917
433,2632,0.000621350054164323,0.25989573276694344,3.271701430743663e-08,7,0,0.10547796118265917
186,1949,0.0006197748768612007,0.2599124613800206,2.0399890509254078e-07,8,0,0.10547796118265917
