,node,eign,closeness,betwness,centrality,community,density
431,1967,0.0005912830778863898,0.29895609683867624,0.0,1,0,0.2706950277740144
129,1777,9.553528504512123e-06,0.33554927704836296,2.2661393984917622e-07,3,0,0.2706950277740144
241,448,1.5866111604336818e-07,0.2700822687445656,0.0,3,0,0.2706950277740144
368,652,2.6370109929278454e-07,0.2714986888993478,0.0,4,0,0.2706950277740144
369,673,2.6370109929278454e-07,0.2714986888993478,0.0,4,0,0.2706950277740144
156,349,2.2315590904230755e-07,0.2701726214371738,1.533610045661092e-08,5,0,0.2706950277740144
173,371,2.050433368658959e-07,0.27019069923051187,5.611705931491714e-08,5,0,0.2706950277740144
367,610,3.649074683510495e-07,0.2860989088847952,2.076700208801823e-06,5,0,0.2706950277740144
423,671,2.899748406285686e-07,0.27326250253772755,2.2766531261928219e-07,5,0,0.2706950277740144
168,365,3.288431127506322e-07,0.2704621567314133,2.5097650112326758e-08,6,0,0.2706950277740144
147,549,7.588854470489327e-06,0.2938009313154831,3.7983115207768156e-05,7,0,0.2706950277740144
366,586,2.7005283261924463e-07,0.2714621848739496,0.0,7,0,0.2706950277740144
186,385,4.7020550319387744e-07,0.2733179910653851,1.3034783128133513e-07,8,0,0.2706950277740144
268,478,3.4541777570708236e-07,0.2704259308866863,5.362007803294713e-07,8,0,0.2706950277740144
319,534,4.013161294843183e-06,0.28597733711048157,2.246024912820178e-05,8,0,0.2706950277740144
145,427,7.680061071658677e-06,0.2958892064189932,7.51875704462311e-05,9,0,0.2706950277740144
361,587,4.3225947835386664e-07,0.27217578862227015,2.847438511467435e-07,10,0,0.2706950277740144
235,442,4.3303887806074535e-06,0.28699360341151386,5.632864965983907e-07,12,0,0.2706950277740144
320,535,4.6445214267271954e-07,0.27315159304606645,4.829090773585816e-06,12,0,0.2706950277740144
358,646,6.210014400356069e-07,0.2869528140989198,4.096781684456105e-05,13,0,0.2706950277740144
234,440,6.523386267871096e-07,0.27155346334902486,1.8096991180560973e-06,14,0,0.2706950277740144
349,569,4.337914804870841e-06,0.28644392423919984,2.4853694473709113e-06,15,0,0.2706950277740144
364,634,4.357057666238773e-06,0.2877297990594271,5.936821370721734e-05,15,0,0.2706950277740144
