,node,eign,closeness,betwness,centrality,community,density
449,3875,6.253537699047949e-10,0.2392321820013034,0.0,2,0,0.5541125541125541
138,3537,6.340633922686974e-10,0.2392605320850862,1.0224066971073946e-07,4,0,0.5541125541125541
459,3887,6.388560120726086e-10,0.23927470964683575,3.476182770165141e-07,5,0,0.5541125541125541
473,3901,6.547344769204468e-10,0.23931725241510104,6.61643191128071e-07,8,0,0.5541125541125541
231,3641,6.630146844825898e-10,0.23934562266611345,2.7604980821899654e-07,10,0,0.5541125541125541
253,3664,6.641156207804983e-10,0.23934562266611345,9.610622952809508e-07,10,0,0.5541125541125541
346,3766,6.641882505036737e-10,0.23934562266611345,1.2268880365288736e-08,10,0,0.5541125541125541
362,3783,6.767456062747272e-10,0.23938819065686506,2.2307055209615882e-08,13,0,0.5541125541125541
244,3655,6.867370181135169e-10,0.23941657773034508,1.32191432132063e-07,15,0,0.5541125541125541
281,3696,6.85463681985299e-10,0.23941657773034508,2.652901948827711e-07,15,0,0.5541125541125541
532,3964,8.435007795320321e-10,0.23941657773034508,2.1661389889382e-06,15,0,0.5541125541125541
387,3809,6.899747608069685e-10,0.23943077379187666,2.060538982936965e-06,16,0,0.5541125541125541
492,3920,6.912652980444163e-10,0.23943077379187666,1.9948438201440427e-07,16,0,0.5541125541125541
535,3967,6.916521453649645e-10,0.23943077379187666,1.6995408987976987e-06,16,0,0.5541125541125541
84,3478,6.955664308754201e-10,0.2394449715370019,5.47979007628439e-07,17,0,0.5541125541125541
182,3587,6.956226591216407e-10,0.2394449715370019,3.122899209285868e-07,17,0,0.5541125541125541
530,3960,6.950000850846946e-10,0.2394449715370019,9.8487861751963e-07,17,0,0.5541125541125541
356,3776,7.053104094457465e-10,0.23947337207923142,1.1183358865147787e-06,19,0,0.5541125541125541
104,3500,7.096593138092529e-10,0.23948757487693495,1.3631779474554016e-06,20,0,0.5541125541125541
370,3791,7.145069966773323e-10,0.2395017793594306,3.5648090545931867e-06,21,0,0.5541125541125541
329,3747,7.259228557470136e-10,0.23951598552701822,4.270269675597289e-06,22,0,0.5541125541125541
505,3933,7.183795948716786e-10,0.23951598552701822,3.111493399509046e-06,22,0,0.5541125541125541
272,3686,6.804936727611204e-10,0.2392605320850862,0.0,4,1,0.38492063492063494
197,3603,9.317776194392437e-10,0.23933143669985776,1.157604066212072e-07,9,1,0.38492063492063494
143,3543,7.099390494669614e-10,0.23934562266611345,8.702535307403911e-07,10,1,0.38492063492063494
268,3681,7.517666924665757e-10,0.23934562266611345,7.845265059662134e-08,10,1,0.38492063492063494
506,3934,9.006573098767459e-10,0.23934562266611345,2.355057981042924e-07,10,1,0.38492063492063494
512,3940,7.363442692179626e-10,0.23935981031416717,3.240099769196707e-07,11,1,0.38492063492063494
